index,name,gender
135,المیرا,f
136,علیہ,f
137,الماس,f
138,الماش,f
139,المیرا,f
140,المیرا,f
141,المیرا,f
142,المیری,f
143,النسا,f
144,الرز,f
145,الطیر,f
146,علُدرا,f
147,اليا,f
148,اليان,f
149,الزن,f
150,الزینا,f
151,الزُبرا,f
152,عمادہ,f
153,عمیدر,f
154,عمالہ,f
155,امامہ,f
156,امانہ,f
157,اماپولا,f
158,امتاُل,f
159,أمبر,f
160,عنبرین,f
161,عمبریلی,f
162,عمبریلی,f
163,امبرا,f
164,امینہ,f
165,امیر,f
166,امیرہ,f
167,عملية,f
168,امیرہ,f
169,أمله,f
170,آمنہ,f
171,أمينه,f
172,امیرہ,f
173,عاملہ,f
174,املہ,f
175,أمرا,f
176,امّتال,f
177,منجن,f
178,عمورہ,f
179,امرحہ,f
180,أمسح,f
181,امثالہ,f
182,امیرا,f
183,انا,f
184,انابیہ,f
185,انہتا,f
186,انعم,f
187,آنسہ,f
188,أنت,f
189,انبار,f
190,عندلیب,f
191,انیقہ,f
192,انیسہ,f
193,عنيزه,f
194,انجبين,f
195,آنیہ,f
196,انیلا,f
197,انیسہ,f
198,عنيزه,f
199,انجم,f
200,انمار,f
201,انیسا,f
202,أنوش,f
203,انوشے,f
204,انسام,f
205,انعم,f
206,انوار,f
207,أنوار,f
208,انورل,f
209,انيا,f
210,انزیلہ,f
211,عقیلہ,f
212,عاقلہ,f
213,قلمه,f
214,آرا,f
215,أرام,f
216,عرج,f
217,عرازہ,f
218,أريبا,f
219,عریفہ,f
220,عرینہ,f
221,عرتا,f
222,ارفعہ,f
223,ارغوان,f
224,اریبہ,f
225,عارفہ,f
226,عارمہ,f
227,عريسا,f
228,ارما,f
229,آرمیتی,f
230,ارمين,f
231,عروبہ,f
232,عروس,f
233,عروسه,f
234,عروب,f
235,عرش,f
236,ارشمع,f
237,عرشیہ,f
238,آرتپنا,f
239,عروبا,f
240,عروسہ,f
241,أرواح,f
242,عريسها,f
243,آرڑو,f
244,اسا,f
245,اسدہ,f
246,اصل,f
247,آسرہ,f
248,أصيلة,f
249,اسیما,f
250,آصفیہ,f
251,اصفُرہ,f
252,عائشہ,f
253,سحالينا,f
254,عشیقہ,f
255,اشک,f
256,عائشہ,f
257,عاشرہ,f
258,اشوک,f
259,اشتلفہ,f
260,عشوہ,f
261,اشیا,f
262,آسیا,f
263,آسیانی,f
264,آصفہ,f
265,اسیمہ,f
266,آسیہ,f
267,اصقہ,f
268,اسماﺀ,f
269,اسما,f
270,اسما,f
271,أصمت,f
272,عاصمہ,f
273,اصنام,f
274,اثرہ,f
275,أسرية,f
276,استا,f
277,استوبان,f
278,اسکنا,f
279,اطالہ,f
280,اطارت,f
281,عطبل ,f
282,أطيقه,f
283,اطہرہ,f
284,أذله,f
285,عظمه,f
286,عاطفہ,f
287,عاتکہ,f
288,عطیقہ,f
289,اتیرہ,f
290,اعتلہ,f
291,عطموس,f
292,اتقا,f
293,اطرہ,f
294,اتفہ,f
295,اتردوخت,f
296,أطياف,f
297,اورا,f
298,اوا,f
299,آویزہ,f
300,عودہ,f
301,اوالہ,f
302,آویز,f
303,أيات,f
304,عیان,f
305,آیاننا,f
306,ایدا,f
307,عائشہ,f
308,عائشہ,f
309, عائشہ,f
310,عائشہ,f
311,عائشہ,f
312,عائشہ کنول,f
313,عائشہ صدیقہ,f
314,عائشہ,f
315,عائشہ,f
316,ايرا,f
317,عائشہ,f
318,از زہرا,f
319,آزادی,f
320,أزاح,f
321,ازالہ,f
322,اذین,f
323,عزیزہ,f
324,اذفرین,f
325,ازہر,f
326,أزمان,f
327,ازیتا,f
328,اذک,f
329,عاذلہ,f
330,ازمہ,f
331,ازملہ,f
332,عضرا,f
333,آزکنا,f
334,آزثنا,f
335,عزا,f
336,عزیزا,f
337,باسمہ,f
338,بابرہ,f
339,بدي,f
340,بدور,f
341,بدیہ,f
342,بدل,f
343,بدر,f
344,بدریا,f
345,بدرییہ,f
346,باها,f
347,بہامین,f
348,بہار,f
349,بہاریں,f
350,بحیرہ,f
351,باهيا,f
352,بهيجة,f
353,بھیرا,f
354,بہیہ,f
355,بہیہ,f
356,بهيه,f
357,بیگم,f
358,بجالت,f
359,بكره,f
360,بخِت,f
361,بخت,f
362,بخطورة,f
363,باکرہ,f
364,بالبالا,f
365,بلقیس,f
366,بنفسج,f
367,بنفشہ,f
368,بےنظیر,f
369,بندیا,f
370,بانو,f
371,بنُوج,f
372,باؤدیھ,f
373,باقرہ,f
374, براعا,f
375,برايم,f
376,بارات,f
377,برین,f
378,بريرة,f
379,بريه,f
380,بريقا,f
381,بارندہ,f
382,باريراه,f
383,برجاء,f
384,برکہ,f
385,باركها,f
386,بره,f
387,برسالة,f
388,بسارة,f
389,بسن,f
390,بسیمہ,f
391,باسمه,f
392,بشارت,f
393,بشیرا,f
394,بشیرہ,f
395,بشنین,f
396,بصیلاح,f
397,بسیمہ,f
398,بصيرة,f
399,باسقہ,f
400,باسمہ,f
401,بسمت,f
402,بسّم,f
403,باسطہ,f
404,بتہشیرا,f
405,باتنة,f
406,بتول,f
407,باتريسيا,f
408,بتولہ,f
409,بايان,f
410,بيسان,f
411,بازغة,f
412,بازف,f
413,بزم آرا,f
414,بزرقة,f
415,بیچارا,f
416,بینا,f
417,بیتا,f
418,بیگم,f
419,بہناز,f
420,بنازير,f
421,بینش,f
422,برزرا,f
423,بركة,f
424,بتول,f
425,بیلہ,f
426,بییبنہ,f
427,بیدہ,f
428,بلقیس,f
429,بلتی ,f
430,بنعيش,f
431,بيسار,f
432,بسمہ,f
433,بيسمال,f
434,بیتا,f
435,بوا,f
436,بُختار,f
437,بوسے,f
438,بهيه,f
439,بهذه,f
440,بُلبُل,f
441,بونیتا,f
442,بُرت,f
443,بُرُ,f
444,برزنکرش,f
445,بصيره,f
446,بوسر,f
447,بوسطن,f
448,بتھینا,f
449,بذلہ,f
450,کیلی,f
451,کلہ,f
452,کمیلہ,f
453,کنترا,f
454,کارمہ,f
455,کرنا,f
456,کمل,f
457,شاديا,f
458,شفيقة,f
459,چہر زاد,f
460, شهرزاد,f
461,چمن آرا,f
462,چمکیلی,f
463,چنا,f
464,چاند,f
465,چندا,f
466,چاندنی,f
467,چاشین,f
468,چاشنی,f
469,چہرازاد,f
470,چیریں,f
471,چراغ بی بی ,f
472,کیرا,f
473,دبستان,f
474,دینہ,f
475,دافعية,f
476,دہاب,f
477,ديبا,f
478,دائمہ,f
479,داعصہ,f
480,دلیہ,f
481,دلیہ,f
482,دماس,f
483,دمی,f
484,دمینا,f
485,دمسہ,f
486,دانیا,f
487,دارا,f
488,دردانہ,f
489,ضارية,f
490,درخشندا,f
491,دروج,f
492,داره,f
493,دریا,f
494,دشتگنی,f
495,دستر,f
496,دولتخت,f
497,ضيفه,f
498,دیبا,f
499,دینا,f
500,دلارام,f
501,دل کش,f
502,دیناء,f
503,ذاكرة,f
504,دھاکیا,f
505,دُھا,f
506,دیبا,f
507,دل آرام,f
508,دل کشا,f
509,دلافروز,f
510,دلآراء,f
511,ذلكش,f
512,دلرُبا,f
513,دلشاد,f
514,دینہ,f
515,دعوة,f
516,دينه,f
517,دجيملا,f
518,ضحى,f
519,دوری,f
520,دنيا,f
521,دوحہ,f
522,دونيا,f
523,دنيانا,f
524,دردانہ,f
525,دردنة,f
526,دورر,f
527,درّہ,f
528,دوريه,f
529,دورية,f
530,احترام,f
531,إليه,f
532,ایمان,f
533,علاہ,f
534,الہام,f
535,العشا,f
536,المیرا,f
537,المیریہ,f
538,المیرا,f
539,المیرا,f
540,المیریہ,f
541,المیرا,f
542,الناز,f
543,إيميلي,f
544,امنة,f
545,یردھوا,f
546,یرشوا,f
547,یرزیشا,f
548,رمينا,f
549,عشال,f
550,عیسے,f
551,عیستا,f
552,عیستر,f
553,عتتی,f
554,عتتے,f
555,ایواز,f
556,فاغھرا,f
557,فاخرہ,f
558,فاكره,f
559,فارهة,f
560,فاطمہ,f
561,فاتینا,f
562,فظل,f
563,فدھیلا,f
564,فضيلة,f
565,فادیہ,f
566,فدہیلہ,f
567,فاضيه,f
568,فاديا,f
569,فاعئقا,f
570,فاغر,f
571,فهده,f
572,فہیمہ,f
573,فهمت,f
574,فہیما,f
575,فہمہب,f
576,فحمد,f
577,فائدہ,f
578,فیہ,f
579,فائقا,f
580,فیتانہ,f
581,فيروزة,f
582,فیروزہ,f
583,فيروزة,f
584,فائزہ,f
585,فاجر,f
586,فقيهة,f
587,فاخرہ,f
588,فاخرا,f
589,فخريه,f
590,فاختا,f
591,فاکہہ,f
592,فلاحة,f
593,فالكرة,f
594,فالقناز,f
595,فالحه,f
596,فالعيش,f
597,فنان,f
598,فانیلہ,f
599,فقيها,f
600,فقيره,f
601,فاريل,f
602,فرح,f
603,فرحناز,f
604,فرانک,f
605,فارانی,f
606,فري,f
607,فریدہ,f
608,فریحہ,f
609,فارہہ,f
610,فرهاد,f
611,فرحانہ,f
612,فرحت,f
613,فارهي,f
614,فارعہ,f
615,فاریعہ,f
616,فریدہ,f
617,فریدہ,f
618,فارقہ,f
619,فريزا,f
620, فرجمند,f
621,فرخندہ,f
622,فرخوندۂ,f
623,فرناز,f
624,پھریں,f
625,فروة,f
626,فریال,f
627,فرزان,f
628,فرزانہ,f
629,فسہا,f
630,فصيله,f
631,فصیحہ,f
632,فاصلہ,f
633,فتاحہ,f
634,فتیحہ,f
635,فاتيما,f
636,فاتن,f
637,فاتحیہ,f
638,فتحیہ,f
639,فاتکہ,f
640,فاطمہ,f
641,فاطمہ ظہرہ ,f
642,فاطمی,f
643,فاطنہ,f
644,فتنة,f
645,فقيه,f
646,فوهة,f
647,فوزى,f
648,فوزية,f
649, فوزيه,f
650,فوزیہ,f
651,فائدہ,f
652,فينا,f
653,فیروز,f
654,فازا,f
655,فضیلہ,f
656,فزراﺀ,f
657,فیھا,f
658,فیعضا,f
659,فتعین,f
660,فہمیدہ,f
661,فیلاہ,f
662,فریشتہ,f
663,فرحین,f
664,فیروزہ,f
665,فضہ,f
666,فددہ,f
667,فكريه,f
668,فیلا,f
669,فرصه,f
670,فردوس,f
671,فردوس,f
672,فردوسی,f
673,فیروزہ,f
674,فضا,f
675,فزہ,f
676,فضا,f
677,فوجن,f
678,فوروغ,f
679,فیروزندہ,f
680,فوزھن,f
681,فرع,f
682,فراسستی,f
683,فراتما,f
684,فریاشتی,f
685,فوضى,f
686,فکینا,f
687,فنون,f
688,فرت,f
689,فُرہت,f
690,فصيله,f
691,فوتون,f
692,جبريل,f
693,غلیلا,f
694,جامال,f
695,گنیمنوئی,f
696,گیجینہ بیگم ,f
697,گردہ,f
698,گوہر,f
699,جاذبية,f
700,گلاره,f
701,گیتی آفرین,f
702,غدا,f
703,غدہ,f
704,غادیہ,f
705,غدیرہ,f
706,غیبہ,f
707,غلیم,f
708,غالیہ,f
709,غمامہ,f
710,غامزا,f
711,غنا,f
712,غانیہ,f
713,غانیه,f
714,غیری,f
715,غاشیہ,f
716,غسسدک,f
717,غیدہ,f
718,غزالہ,f
719,غزال رعنا,f
720,غزالہ,f
721,غزبیلہ,f
722,غازيه,f
723,غيبته,f
724,غزلان,f
725,گھونچہ,f
726,غوتي,f
727,غاطیہ,f
728,غوميس,f
729,غنچہ,f
730,غرّا,f
731,غسون,f
732,غُسن,f
733,جهوزية,f
734,گیتا,f
735,گوہر بار,f
736,گولی,f
737,گلناز,f
738,گوردیا,f
739,جرانة,f
740,گبرگہ,f
741,گیتا,f
742,گل,f
743,گل افشاں ,f
744,گل انداز,f
745,گل عذرا,f
746,گل رانا,f
747,گل خندہ,f
748,گل نین,f
749,گل رعنا ,f
750,گل صنوبر,f
751,گلاب,f
752,گلالہ,f
753,جلالي,f
754,گلباشم,f
755,گلیں,f
756,گلنار,f
757,گلستان,f
758,گلجانہ,f
759,گلناز,f
760,گلرنگ,f
761,گلرخ,f
762,گلشن,f
763,گلزار,f
764,جوزيدا,f
765,ہادیہ,f
766,هاجر,f
767,ہالا,f
768,حالمه,f
769,حارثه,f
770,حبابہ,f
771,حبیبہ,f
772,حبیبہ,f
773,حبیبہ,f
774,حبور,f
775,حادہ,f
776,ہدایت,f
777,هديل,f
778,هديه,f
779,حدیقہ,f
780,ہادیہ,f
781,ہدیا,f
782,ہائیدہ,f
783,حفیظہ,f
784,حفيدة,f
785,حافظہ,f
786,حافرہ,f
787,حفصہ,f
788,حفتھاہ,f
789,هاجير,f
790,ہائلہ,f
791,ہیجمن,f
792,حائقہ,f
793,حجر,f
794,حاجبہ,f
795,ہاجرہ,f
796,هاجنا,f
797,حجرہ,f
798,حکیما,f
799,حاکمہ,f
800,ہالہ,f
801,حلیمہ,f
802,حاليا,f
803,حلیمہ,f
804,ہلیت,f
805,حمیرا,f
806,حمامه,f
807,حمایت,f
808,حمديه,f
809,حمیدہ,f
810,حامدہ,f
811,حمیدہ,f
812,همنا,f
813,حمرا,f
814,حنا,f
815,حناع,f
816,حنان,f
817,حنفى,f
818,ہانیہ بانو,f
819,حنیفہ,f
820,ہانیہ,f
821,هنا,f
822,حنون,f
823,ہنیم,f
824,حقیقت,f
825,حریم,f
826,حارث,f
827,حرمہ,f
828,حارثہ,f
829,ہروسپاگاہ,f
830,حسنا,f
831,حسیمہ,f
832,حسيناه,f
833,ہاشمہ,f
834,حسيبة,f
835,حصيفة,f
836,حسین,f
837,حسینہ,f
838,حُسنہ,f
839,حسانا,f
840,ہستی,f
841,ہتیفی,f
842,حجامت,f
843,حوا,f
844,حوده,f
845, هوية,f
846,حورة,f
847,ہیام,f
848,هايام,f
849,هايد,f
850,حیفا,f
851,حیی,f
852,هايد,f
853,ہضیم,f
854,هزيمة,f
855,حاذقہ,f
856,ہزیرہ بانو,f
857,حبا,f
858,هدايا,f
859,حيلة,f
860,حنا,f
861,هلي,f
862,حليمة,f
863,هنا,f
864,ہستر,f
865,ہتتی,f
866,هيام,f
867,ہبہ,f
868,ہیبت الله,f
869,هيبه,f
870,هديه,f
871,هجرة,f
872,حكمت,f
873,هيلا,f
874,حنا,f
875,ہند,f
876,حنا,f
877,حيره,f
878,ہتتی,f
879,حامیہ,f
880,حُما,f
881,حور,f
882,حورية,f
883,حور العین,f
884,حوریہ,f
885,هود,f
886,هويام,f
887,حبيشة,f
888,ہدیٰ,f
889,حجمه,f
890,حجيرة,f
891,حكيمه,f
892,هوليه,f
893,حما,f
894,حميدة,f
895,حميرا,f
896,حميرة,f
897,حمیرہ,f
898,حمرا,f
899,ہونیدہ,f
900,حرة,f
901,ہروا,f
902,حورية,f
903,حُریہ,f
904,حورية,f
905,حسين,f
906,حُسن,f
907,حسي,f
908,هشيما,f
909,حسن آرا,f
910,حسنہ,f
911,حسنية,f
912,هوتاف,f
913,هويدة,f
914,لمر,f
915,عبده,f
916,عبدا,f
917,إبريز,f
918, ابتسام,f
919,ابتہاج,f
920,ابتهل,f
921,إبتسم,f
922,عذر,f
923,عائشہ,f
924,عائشہ,f
925,عائشہ,f
926,عائشہ,f
927,لیشاہ,f
928,لیشاہ,f
929,عفا,f
930,عفت,f
931,افراح,f
932,فتنا,f
933,إيحاء,f
934,إجلال,f
935,إكليل,f
936,اکرام,f
937,الہام,f
938,علم,f
939,ایمان,f
940,امروزیہ,f
941,امتیاز,f
942,إمتنان,f
943,امتیتھال,f
944,انعام,f
945,انعام,f
946,انس,f
947,عنایہ,f
948,انجلا,f
949,إنسية,f
950,انتصار,f
951,إنتصارات,f
952,اقالہ,f
953,يقلص,f
954,إرادة,f
955,يرام,f
956,ایران-دوخت,f
957,عرفانہ,f
958,ارشاد,f
959,اسد,f
960,يسار,f
961,عشنا,f
962,إشراق,f
963,إصلاح,f
964,إسمح,f
965,اسود,f
966,عصام,f
967,عتاب,f
968,يثار,f
969,عطرة,f
970,ازاحت,f
971,ازدیہار,f
972,عظمة,f
973,عزت,f
974,جبالہ,f
975,جبیں,f
976,جدا,f
977,جديدة,f
978,جائدا,f
979,جہاں,f
980,جہان خاتون,f
981,جہاں باں,f
982,جاهدا,f
983,جائی,f
984,جیدے,f
985,جائشہ,f
986,جلاء,f
987,جلیلہ,f
988,جليسه,f
989,جلیلہ,f
990,جالسان,f
991,جمیمہ,f
992,جمالہ,f
993,جمیلہ,f
994,جميع,f
995,جمیلہ,f
996,جمیلہ,f
997,جمیلے,f
998,جانا,f
999, جنان,f
1000,جنا,f
1001,جنت,f
1002,جرینا,f
1003,جاریہ,f
1004,جزين,f
1005,جسمین,f
1006,جسمینا,f
1007,جسمین,f
1008,جسمین,f
1009,جاذبية,f
1010,جفرا,f
1011,جواہر,f
1012,جواہر,f
1013,جودة,f
1014,جوہرہ,f
1015,جیدرا,f
1016,جازبہ,f
1017,جاذبية,f
1018,جسمین,f
1019,جسمین,f
1020,جین,f
1021,جہاں,f
1022,جمیمہ,f
1023,جننا,f
1024,جیس,f
1025,جسمین,f
1026,جزين,f
1027,جسمین,f
1028,جيان,f
1029,جہاں,f
1030,جينا,f
1031,جوھانا,f
1032, جوهي,f
1033,جوودي,f
1034,جوائس,f
1035,جدامه,f
1036,جگن,f
1037,جهينه,f
1038,جومانا,f
1039,جومان,f
1040,جُمانہ,f
1041,جوناه,f
1042,جنة,f
1043,جوري,f
1044,جووان,f
1045,جوريه,f
1046,جويرية,f
1047,کاملہ,f
1048,كبشة,f
1049,کبیرہ,f
1050,كبشة,f
1051, قادرة,f
1052,کافلہ,f
1053,کحیلہ,f
1054,کاعب,f
1055,كيفية,f
1056,کائنہ,f
1057,كقول,f
1058,کلیمہ,f
1059,کیلی,f
1060,کلیما,f
1061,کلیہ,f
1062,كالسام,f
1063,كلثم,f
1064,کلین,f
1065,کمالہ,f
1066,كمالية,f
1067,کاملہ,f
1068,کمیلا,f
1069,کملا,f
1070,کامنہ,f
1071,کمرا,f
1072,كنيز,f
1073,کنیا,f
1074,كانفال,f
1075,کنولن نین,f
1076,كانزا,f
1077,كرم,f
1078,كروان,f
1079,قرضاوية,f
1080,کریمہ,f
1081,کریدہ,f
1082,کریمہ,f
1083,كارما,f
1084,کشف,f
1085,کشفیہ,f
1086,کاشفہ,f
1087,کاشرہ,f
1088,قشدة,f
1089,کاثرہ,f
1090,کاثمہ,f
1091,کثوم,f
1092,کستوری,f
1093,کاتایوں,f
1094,كوكب,f
1095,كوتر,f
1096,کیلی,f
1097,کاظمہ,f
1098,کاشا,f
1099,کنوی,f
1100,خالدہ,f
1101,خاتون,f
1102,خدیجہ,f
1103,خضرة,f
1104,خائلہ,f
1105,خيرا,f
1106,خيرات,f
1107,خیرالوریٰ,f
1108,خكشا,f
1109,خالصه,f
1110,خالدہ,f
1111,خلیقہ,f
1112,خالیصہ,f
1113,خان زادی,f
1114,خاندان,f
1115,خانم,f
1116,خبري,f
1117,خر,f
1118,خشر,f
1119,خشيف,f
1120,خصيبة,f
1121,خاطرة,f
1122,خاطبہ,f
1123,خاتون,f
1124,خولة,f
1125,خولہ,f
1126,خيره,f
1127,خيرية,f
1128,خزانة,f
1129,خیزران,f
1130,خضره,f
1131,خيراد,f
1132,خيتام,f
1133,کھوجسسطح,f
1134,خشبخة,f
1135,خوباں,f
1136,خضرة,f
1137,خليدة,f
1138,خليبة,f
1139,خلود,f
1140,خنان,f
1141,خنداں ,f
1142,خنشاﺀ,f
1143,خورشید,f
1144,خوش بخت,f
1145,خوش گل,f
1146,خوشنودہ,f
1147,خويلة,f
1148,خواہر,f
1149,كيفاه,f
1150,كنانة,f
1151,کرن,f
1152,کوبرا,f
1153,کوہنور,f
1154,کوکب,f
1155,کومل,f
1156,کورالیہ,f
1157,قورينا,f
1158,کوشیہ,f
1159,كويسه,f
1160,كيبة,f
1161,کبریا,f
1162,كحيله,f
1163,كولوس,f
1164,كونزا,f
1165,كيدا,f
1166,كينا,f
1167,لبانه,f
1168,لبیقہ,f
1169,لبیبہ,f
1170,لدن,f
1171,لاحفہ,f
1172,لہیہ,f
1173,لعبه,f
1174,لايل,f
1175,لیلا,f
1176,لیلہ,f
1177,لائقہ,f
1178,لکیسیہ,f
1179,لکایشا,f
1180,لکایشا,f
1181,لکیسیہ,f
1182,لکتہ,f
1183,لالہ رخ,f
1184,للیتا,f
1185,لامعہ,f
1186,لامیہ,f
1187,لميس,f
1188,لمیا,f
1189,لانا,f
1190,لانكا,f
1191,لقا,f
1192,لاریب,f
1193,لاثانی,f
1194,لصيف,f
1195,لطیفہ,f
1196,لطیفہ,f
1197,لطیمہ,f
1198,لوحظ,f
1199,لیلی,f
1200,لينا,f
1201,لیلی,f
1202,لازيم,f
1203,لی,f
1204,لیلہ,f
1205,لينا,f
1206,لیلہ,f
1207,لیلی,f
1208,لکیشا,f
1209,لیلہ,f
1210,لیلہ,f
1211,لایشہ,f
1212,ليبا,f
1213,لیلہ,f
1214,لیلی,f
1215,لِلیاں,f
1216,لیلہ,f
1217,للی,f
1218,لینتا,f
1219,لیزا,f
1220,لوعلو,f
1221,لوسندہ,f
1222,لبابہ,f
1223,لبابہ,f
1224,لبنى,f
1225,لبنیٰ,f
1226,لوجى,f
1227,لوجين,f
1228,لولوہ,f
1229,لمیا,f
1230,لونه,f
1231,لوتف,f
1232,لتفيا,f
1233,لتفییا,f
1234,لیلہ,f
1235,لین,f
1236,ماس سما,f
1237,مآب,f
1238,مہجبیں,f
1239,معصومہ,f
1240,مبروك,f
1241,مدنية,f
1242,مدیحہ,f
1243,مدحت,f
1244,مدیحہ,f
1245,مگدا,f
1246,ماہ بانو,f
1247,ماہ لقا,f
1248,ماہ پیکر,f
1249,ماہ طلعت,f
1250,محبه,f
1251,محالہ,f
1252,مہلیہ,f
1253,مہستی,f
1254,محبوبی,f
1255,محبوب,f
1256,مہببے,f
1257,مهدية,f
1258,مہدوخت,f
1259,ماہینہ,f
1260,محالیہ,f
1261,محفوظة,f
1262,مهيبة,f
1263,ماہرہ,f
1264,مہلآغا,f
1265,محمودی,f
1266,محمدی,f
1267,مہناز,f
1268,ماہ نور,f
1269,مہر انگیز,f
1270,مہر نگار,f
1271,ماہ رو,f
1272,مهروسه,f
1273,ماہ رخ,f
1274,مہشید,f
1275,مہتا,f
1276,مہتاب,f
1277,مہوش,f
1278,مهزلة,f
1279, میمونہ,f
1280,میمنہ,f
1281,میسا,f
1282,ماعیسہ,f
1283,ميسره,f
1284,ميسورة,f
1285,ماجہ,f
1286,مجدية,f
1287,مجیدہ,f
1288, ماجدہ,f
1289,مکارم,f
1290,مخدومہ,f
1291,ماخرہ,f
1292,مختونة,f
1293,مالا,f
1294,ملاحہ,f
1295,ملک,f
1296,ملکہ,f
1297,ملیحہ,f
1298,ملیہہ,f
1299,ملکہ,f
1300,مالمال,f
1301,منا,f
1302,منار,f
1303,مناہل,f
1304, منال,f
1305,منارا,f
1306,منارا,f
1307,مندانا,f
1308,مانيل,f
1309,مانها,f
1310,منحالہ,f
1311,منزہہ,f
1312,منصوره,f
1313,منظور,f
1314,مقصودہ,f
1315,ماراب,f
1316,مرم,f
1317,مرضيه,f
1318,مریلا,f
1319,مارغوبا,f
1320,مریم,f
1321,مريضه,f
1322,مریحہ,f
1323, مرت,f
1324,ماریہ,f
1325,مرجانہ,f
1326,مرمر,f
1327,مرمرین,f
1328,مارسیا,f
1329,مرتیلہ,f
1330,مارت,f
1331,مارت,f
1332,مرتی,f
1333,مرتنی,f
1334,مرتے,f
1335,مرتینے,f
1336,معروف,f
1337,مروارید,f
1338,مروارید,f
1339,مریم بتول,f
1340,مریم نور,f
1341,ميرذيا,f
1342,مرزوقة,f
1343,مصابيح,f
1344,مساهير,f
1345,مشیرہ,f
1346,مشہودہ,f
1347,مشکورہ,f
1348,مسیا,f
1349,ماثرہ,f
1350,ماثلہ,f
1351,مسماﺀ,f
1352,مسعودہ,f
1353,ماسون,f
1354,مسعودا,f
1355,مسرور,f
1356,مستانی,f
1357,مستور,f
1358,مصتُرا,f
1359,مسعودہ,f
1360,متاع,f
1361,متین,f
1362,مطلوب,f
1363,مٹٰی,f
1364,مودة,f
1365,موضه,f
1366,مؤہب,f
1367,مورا,f
1368,موهوبة,f
1369,معاویہ,f
1370,موصوفة,f
1371,مایہ,f
1372,ميدا,f
1373,ميمونة,f
1374,مايس,f
1375,میساع,f
1376,مايسام,f
1377,میسوں,f
1378,میسُن,f
1379,میدہ,f
1380,مزیلہ,f
1381,مزيعه,f
1382,مینتونہ,f
1383,مینا,f
1384,میرم,f
1385,مہ,f
1386,محالہ,f
1387,مہر النساﺀ,f
1388,مهند,f
1389,مہرانگز,f
1390,مهرش,f
1391,مہرے,f
1392,مہوش,f
1393,میمونہ,f
1394,میرا,f
1395,مرجان,f
1396,مروة,f
1397,میشیہ,f
1398,مدھا,f
1399,مهري,f
1400,مینا,f
1401,منها,f
1402,میرا,f
1403,میرہ,f
1404,مریم,f
1405,مصباح,f
1406,مشعل,f
1407,مترا,f
1408,محادثة,f
1409,محيصة,f
1410,محسنة,f
1411,مونا,f
1412,مُنیر,f
1413,منيرة,f
1414,مُنیر,f
1415,مومل,f
1416,مفيدة,f
1417,موئنہ,f
1418,موزھدہ,f
1419,مسرت,f
1420,ماذا,f
1421,معزز,f
1422,مبارکہ,f
1423,مُبارک,f
1424,مباشره,f
1425,مباششرة,f
1426,مبین,f
1427,مبينه,f
1428,ميره,f
1429,معفية,f
